State_id,Year,Month_Number,Total_Installment,Total_Product_Description,Total_Product_Name_Length,Photos_Quality,Total_Payment,PreviousMonthPayment,SeasonalPayment,QuarterPayment,LastYearPayment
3,2016,9,6,762,84,1,150.12,,,,
16,2016,9,4,2360,200,5,544.91999999999996,150.12,,,
3,2016,10,182,33394,2488,9.5714285714285712,10996.699999999999,544.91999999999996,,,
9,2016,10,40,15034,402,1.25,2134.2800000000002,10996.699999999999,150.12,,
8,2016,10,48,3804,300,3,1990.6800000000001,2134.2800000000002,544.91999999999996,150.12,
1,2016,10,962,201978,12090,36.777777777777779,39834.620000000003,1990.6800000000001,10996.699999999999,544.91999999999996,
6,2016,10,434,78652,4720,12.875,13975.66,39834.620000000003,2134.2800000000002,10996.699999999999,
4,2016,10,362,108300,5944,17.875,27238.800000000003,13975.66,1990.6800000000001,2134.2800000000002,
10,2016,10,244,54692,3290,9.5714285714285712,11910.819999999998,27238.800000000003,39834.620000000003,1990.6800000000001,
12,2016,10,38,12358,686,3.6666666666666665,3899.5599999999999,11910.819999999998,13975.66,39834.620000000003,
19,2016,10,68,16208,870,5,2309.3400000000001,3899.5599999999999,27238.800000000003,13975.66,
17,2016,10,2,1246,86,5,149.47999999999999,2309.3400000000001,11910.819999999998,27238.800000000003,
16,2016,10,2,1932,112,5,138.03999999999999,149.47999999999999,3899.5599999999999,11910.819999999998,150.12
20,2016,10,60,15680,690,3,3376.9799999999996,138.03999999999999,2309.3400000000001,3899.5599999999999,544.91999999999996
18,2016,10,70,14768,840,4,2997.4200000000001,3376.9799999999996,149.47999999999999,2309.3400000000001,10996.699999999999
5,2016,10,170,25686,1308,4.5,9669.0599999999995,2997.4200000000001,138.03999999999999,149.47999999999999,2134.2800000000002
14,2016,10,28,7568,520,2.75,2697.0799999999999,9669.0599999999995,3376.9799999999996,138.03999999999999,1990.6800000000001
13,2016,10,36,9540,1026,6,8249.6999999999989,2697.0799999999999,2997.4200000000001,3376.9799999999996,39834.620000000003
21,2016,10,8,2180,120,1,492.18000000000001,8249.6999999999989,9669.0599999999995,2997.4200000000001,13975.66
2,2016,10,24,12834,680,11.666666666666666,3608.9799999999996,492.18000000000001,2697.0799999999999,9669.0599999999995,27238.800000000003
24,2016,10,16,11072,320,5.5,691.83999999999992,3608.9799999999996,8249.6999999999989,2697.0799999999999,11910.819999999998
23,2016,10,14,2140,164,3,259.80000000000001,691.83999999999992,492.18000000000001,8249.6999999999989,3899.5599999999999
7,2016,10,60,3104,220,2.5,1208.1399999999999,259.80000000000001,3608.9799999999996,492.18000000000001,2309.3400000000001
10,2016,12,2,3420,128,1,39.240000000000002,1208.1399999999999,691.83999999999992,3608.9799999999996,149.47999999999999
8,2017,1,240,56878,3194,6.833333333333333,10307.300000000001,39.240000000000002,259.80000000000001,691.83999999999992,138.03999999999999
9,2017,1,70,29558,1008,2.5,4985.1599999999999,10307.300000000001,1208.1399999999999,259.80000000000001,3376.9799999999996
10,2017,1,320,158540,7290,7.0526315789473681,16243.279999999999,4985.1599999999999,39.240000000000002,1208.1399999999999,2997.4200000000001
3,2017,1,418,114748,6228,8.2777777777777786,32015.84,16243.279999999999,10307.300000000001,39.240000000000002,9669.0599999999995
17,2017,1,18,2680,228,2.5,926.25999999999999,32015.84,4985.1599999999999,10307.300000000001,2697.0799999999999
13,2017,1,28,5786,664,2.7999999999999998,1596.1999999999998,926.25999999999999,16243.279999999999,4985.1599999999999,8249.6999999999989
19,2017,1,410,42926,3088,6.666666666666667,32224.739999999998,1596.1999999999998,32015.84,16243.279999999999,492.18000000000001
21,2017,1,42,16094,722,3,2907.96,32224.739999999998,926.25999999999999,32015.84,3608.9799999999996
11,2017,1,10,522,108,6,340.72000000000003,2907.96,1596.1999999999998,926.25999999999999,691.83999999999992
6,2017,1,878,279128,13330,12.083333333333334,52975.640000000014,340.72000000000003,32224.739999999998,1596.1999999999998,259.80000000000001
24,2017,1,18,7870,422,2.6666666666666665,763.56000000000006,52975.640000000014,2907.96,32224.739999999998,1208.1399999999999
7,2017,1,108,33950,1440,3.625,6693.8399999999992,763.56000000000006,340.72000000000003,2907.96,39.240000000000002
12,2017,1,80,10296,872,3.8571428571428572,2532.2600000000002,6693.8399999999992,52975.640000000014,340.72000000000003,10307.300000000001
4,2017,1,688,186406,12464,12.869565217391305,34023.939999999995,2532.2600000000002,763.56000000000006,52975.640000000014,4985.1599999999999
27,2017,1,32,2026,468,4,3314.6599999999999,34023.939999999995,6693.8399999999992,763.56000000000006,16243.279999999999
22,2017,1,8,5194,276,1.3333333333333333,1651.02,3314.6599999999999,2532.2600000000002,6693.8399999999992,32015.84
18,2017,1,76,30180,1420,4.8888888888888893,4854.6000000000004,1651.02,34023.939999999995,2532.2600000000002,926.25999999999999
20,2017,1,72,16720,854,3.5,4303.8600000000006,4854.6000000000004,3314.6599999999999,34023.939999999995,1596.1999999999998
1,2017,1,2124,646202,36108,30.444444444444443,132188.34,4303.8600000000006,1651.02,3314.6599999999999,32224.739999999998
15,2017,1,8,3512,212,2,1353.7199999999998,132188.34,4854.6000000000004,1651.02,2907.96
14,2017,1,50,24924,886,5.2000000000000002,2536.2600000000002,1353.7199999999998,4303.8600000000006,4854.6000000000004,340.72000000000003
23,2017,1,22,10986,248,3.5,1497.5599999999999,2536.2600000000002,132188.34,4303.8600000000006,52975.640000000014
5,2017,1,256,71724,3740,5.666666666666667,17793.920000000002,1497.5599999999999,1353.7199999999998,132188.34,763.56000000000006
2,2017,1,98,24744,1308,3.3999999999999999,7528.1800000000012,17793.920000000002,2536.2600000000002,1353.7199999999998,6693.8399999999992
20,2017,2,142,41220,2156,3.2857142857142856,7050.9600000000009,7528.1800000000012,1497.5599999999999,2536.2600000000002,2532.2600000000002
22,2017,2,88,20966,1232,3.2999999999999998,8025.7600000000002,7050.9600000000009,17793.920000000002,1497.5599999999999,34023.939999999995
8,2017,2,482,138070,6606,6.5,19738.000000000011,8025.7600000000002,7528.1800000000012,17793.920000000002,3314.6599999999999
1,2017,2,3802,1079360,68640,57.107142857142854,210152.47999999995,19738.000000000011,7050.9600000000009,7528.1800000000012,1651.02
9,2017,2,264,55818,3752,4.4500000000000002,12906.660000000003,210152.47999999995,8025.7600000000002,7050.9600000000009,4854.6000000000004
11,2017,2,70,24220,1018,2.625,16404.480000000003,12906.660000000003,19738.000000000011,8025.7600000000002,4303.8600000000006
10,2017,2,906,213898,12812,11.296296296296296,59869.459999999985,16404.480000000003,210152.47999999995,19738.000000000011,132188.34
3,2017,2,770,179000,10532,8.7857142857142865,40554.940000000002,59869.459999999985,12906.660000000003,210152.47999999995,1353.7199999999998
6,2017,2,1720,457436,27650,21.928571428571427,86802.739999999991,40554.940000000002,16404.480000000003,12906.660000000003,2536.2600000000002
17,2017,2,88,21294,1670,4.4444444444444446,5088.6000000000004,86802.739999999991,59869.459999999985,16404.480000000003,1497.5599999999999
27,2017,2,58,16258,440,2.3333333333333335,2578.1599999999999,5088.6000000000004,40554.940000000002,59869.459999999985,17793.920000000002
25,2017,2,70,9604,808,2.3333333333333335,2245.0800000000004,2578.1599999999999,86802.739999999991,40554.940000000002,7528.1800000000012
16,2017,2,6,4134,182,7,217.47999999999999,2245.0800000000004,5088.6000000000004,86802.739999999991,7050.9600000000009
15,2017,2,38,10566,582,2.3999999999999999,1879.1000000000001,217.47999999999999,2578.1599999999999,5088.6000000000004,8025.7600000000002
18,2017,2,144,46606,2354,3.3999999999999999,21903.119999999999,1879.1000000000001,2245.0800000000004,2578.1599999999999,19738.000000000011
26,2017,2,32,3430,572,8,4007.5999999999999,21903.119999999999,217.47999999999999,2245.0800000000004,210152.47999999995
2,2017,2,212,51778,2742,3.8888888888888888,24210.400000000001,4007.5999999999999,1879.1000000000001,217.47999999999999,12906.660000000003
24,2017,2,116,16524,1446,7.333333333333333,7650.7599999999993,24210.400000000001,21903.119999999999,1879.1000000000001,16404.480000000003
7,2017,2,124,28138,1820,3.7333333333333334,8256.3600000000006,7650.7599999999993,4007.5999999999999,21903.119999999999,59869.459999999985
14,2017,2,68,21408,1044,5.666666666666667,2202.5,8256.3600000000006,24210.400000000001,4007.5999999999999,40554.940000000002
13,2017,2,44,18384,1128,2.5,2390.46,2202.5,7650.7599999999993,24210.400000000001,86802.739999999991
12,2017,2,74,21578,1446,2.2727272727272729,5163.9400000000005,2390.46,8256.3600000000006,7650.7599999999993,5088.6000000000004
21,2017,2,138,22632,1498,3,7913.1399999999994,5163.9400000000005,2202.5,8256.3600000000006,2578.1599999999999
19,2017,2,120,45276,2588,6.1764705882352944,6318.5400000000018,7913.1399999999994,2390.46,2202.5,2245.0800000000004
23,2017,2,104,30662,1358,2.7000000000000002,5935.7400000000007,6318.5400000000018,5163.9400000000005,2390.46,217.47999999999999
4,2017,2,1630,453238,27616,23.074074074074073,101036.06,5935.7400000000007,7913.1399999999994,5163.9400000000005,1879.1000000000001
5,2017,2,354,97642,5784,6.8076923076923075,17767.060000000001,101036.06,6318.5400000000018,7913.1399999999994,21903.119999999999
20,2017,3,282,74994,4676,5.4761904761904763,19931.919999999998,17767.060000000001,5935.7400000000007,6318.5400000000018,4007.5999999999999
16,2017,3,12,2226,172,3.5,661.62,19931.919999999998,101036.06,5935.7400000000007,24210.400000000001
18,2017,3,404,81322,6842,5.1538461538461542,19812.119999999999,661.62,17767.060000000001,101036.06,7650.7599999999993
26,2017,3,28,3898,366,2.3333333333333335,1335.8599999999999,19812.119999999999,19931.919999999998,17767.060000000001,8256.3600000000006
9,2017,3,308,89410,4660,5.2608695652173916,15805.859999999997,1335.8599999999999,661.62,19931.919999999998,2202.5
8,2017,3,728,208248,10552,9.0333333333333332,49347.860000000001,15805.859999999997,19812.119999999999,661.62,2390.46
22,2017,3,118,35850,2156,4.8181818181818183,8115.4199999999992,49347.860000000001,1335.8599999999999,19812.119999999999,5163.9400000000005
