State_id,Year,Month,Day,payment_value,payment_installments,product_description_lenght,product_name_lenght,product_photos_qty
1,2016,October,2,109.34,1,561,32,1
1,2016,October,3,219.87,11,2231,174,6
1,2016,October,4,3364.55,98,14292,1138,47
1,2016,October,5,3248.7,55,12757,632,30
1,2016,October,6,3988.17,83,16922,1028,65
1,2016,October,7,3738.65,96,23157,1219,69
1,2016,October,8,3072.24,88,13743,816,54
1,2016,October,9,1292.91,30,4726,360,19
1,2016,October,10,882.88,19,12600,646,40
1,2017,January,5,24.42,1,1939,55,2
1,2017,January,6,21.45,1,333,44,3
1,2017,January,7,47.83,2,448,60,5
1,2017,January,8,141.37,1,846,46,13
1,2017,January,9,151.37,1,447,59,5
1,2017,January,10,425.07,2,2432,64,4
1,2017,January,11,159.81,2,1961,78,7
1,2017,January,12,1779.78,36,4999,367,14
1,2017,January,13,778.61,17,4722,217,12
1,2017,January,14,482.42,26,3388,389,7
1,2017,January,15,455.12,12,3077,212,9
1,2017,January,16,3226.32,29,6428,636,21
1,2017,January,17,2460.63,48,11644,907,54
1,2017,January,18,1655.25,18,8673,578,23
1,2017,January,19,1770.95,36,10465,737,34
1,2017,January,20,2627.13,41,9509,803,48
1,2017,January,21,1561.42,29,7846,714,32
1,2017,January,22,2227.74,49,16136,693,32
1,2017,January,23,3503.48,68,18498,1082,61
1,2017,January,24,5562.42,78,16060,915,51
1,2017,January,25,4336.16,80,25486,1389,63
1,2017,January,26,8838.22,104,38535,1869,55
1,2017,January,27,6174.79,132,32158,1738,99
1,2017,January,28,991.98,25,28934,730,35
1,2017,January,29,3309,49,17428,897,34
1,2017,January,30,5115.64,85,23859,1167,41
1,2017,January,31,8265.79,90,26850,1608,58
1,2017,February,1,3267.26,54,22434,1264,49
1,2017,February,2,2485.62,44,19064,834,43
1,2017,February,3,3996.85,72,15760,888,38
1,2017,February,4,3787.95,70,26614,1114,76
1,2017,February,5,3220.59,61,21656,1473,76
1,2017,February,6,4803.45,109,23644,1491,73
1,2017,February,7,8956.37,162,42073,2284,141
1,2017,February,8,5290.71,57,22905,1317,51
1,2017,February,9,3045,49,17409,1341,70
1,2017,February,10,4849.69,70,24374,1306,51
1,2017,February,11,2173.72,36,16593,918,42
1,2017,February,12,3834.8,38,15635,1220,57
1,2017,February,13,3446.56,53,23663,1105,48
1,2017,February,14,3811.76,87,18382,1256,51
1,2017,February,15,3337.71,70,25437,1296,52
1,2017,February,16,2844.3,50,14052,868,32
1,2017,February,17,2803.7,86,14628,879,40
1,2017,February,18,3263.46,62,11471,1026,54
1,2017,February,19,2471.37,47,14032,1175,41
1,2017,February,20,4081.88,69,31942,1779,68
1,2017,February,21,2677.49,26,7230,933,52
1,2017,February,22,3970.52,100,22513,1366,63
1,2017,February,23,4719.47,130,20782,1420,61
1,2017,February,24,2573.91,57,15861,1506,66
1,2017,February,25,4300.39,60,12995,1171,58
1,2017,February,26,3756.36,61,16500,1103,44
1,2017,February,27,2547.86,49,10706,984,52
1,2017,February,28,4757.49,72,11325,1003,50
1,2017,March,1,8329.52,124,28916,2472,95
1,2017,March,2,6356.21,79,10845,1122,43
1,2017,March,3,6388.89,122,25343,1632,79
1,2017,March,4,5137.09,89,18880,1388,66
1,2017,March,5,2555.47,59,17335,1035,52
1,2017,March,6,6841.5,131,31619,2070,104
1,2017,March,7,6683.35,115,18657,1553,80
1,2017,March,8,5868.75,104,18634,1503,65
1,2017,March,9,6500.51,123,70090,2970,187
1,2017,March,10,6475.41,113,30167,1713,74
1,2017,March,11,5113.62,116,19997,1990,70
1,2017,March,12,2592.68,75,22335,1174,53
1,2017,March,13,6030.57,103,42904,2198,114
1,2017,March,14,5595.89,115,20470,1855,76
1,2017,March,15,6098.67,138,37146,3031,131
1,2017,March,16,10615.3,202,36817,2564,114
1,2017,March,17,5081.84,88,25039,1397,53
1,2017,March,18,7416.36,81,27596,1190,60
1,2017,March,19,3872.14,113,25694,1289,72
1,2017,March,20,8498.72,163,34191,1982,131
1,2017,March,21,5458.02,105,39444,2089,103
1,2017,March,22,10271.67,141,29865,2216,86
1,2017,March,23,7261.84,157,39803,2668,113
1,2017,March,24,4373.68,91,26783,1728,65
1,2017,March,25,3410.64,50,22534,1238,61
1,2017,March,26,2835.73,94,24120,1402,67
1,2017,March,27,7672.56,87,30531,1946,96
1,2017,March,28,7656.71,127,34926,2381,101
1,2017,March,29,4520.35,111,37935,1870,90
1,2017,March,30,5061.41,78,18430,1426,56
1,2017,March,31,5365.14,69,12478,1032,47
1,2017,April,1,7083.69,109,17966,1428,54
1,2017,April,2,3845.16,113,29548,1591,69
1,2017,April,3,4850.08,84,32573,1652,65
1,2017,April,4,7904.04,134,34440,2309,122
1,2017,April,5,8039.99,150,39682,2418,133
1,2017,April,6,27065.57,119,47003,2237,115
1,2017,April,7,9812.65,155,31516,2093,102
1,2017,April,8,4136.47,81,26532,1314,61
1,2017,April,9,2327.96,69,14073,1055,43
1,2017,April,10,4193.28,82,29933,1851,80
1,2017,April,11,4969.16,81,28049,1449,73
1,2017,April,12,5325.28,98,33545,1765,88
1,2017,April,13,3366.78,83,11878,923,45
1,2017,April,14,4588.41,111,21077,785,38
1,2017,April,15,3934.29,38,14997,964,39
1,2017,April,16,1371.41,54,8942,694,30
1,2017,April,17,2676.61,51,16158,1134,51
1,2017,April,18,8247.56,81,19163,1666,55
1,2017,April,19,6878.39,109,26359,1956,88
1,2017,April,20,5030.4,106,32592,1796,82
1,2017,April,21,4454.61,63,35148,1438,73
1,2017,April,22,7495.2,121,33849,1741,56
1,2017,April,23,6861.22,135,28557,1959,94
1,2017,April,24,7642.84,183,52023,3181,141
1,2017,April,25,6086.78,112,24567,2201,105
1,2017,April,26,9261.03,170,51279,2769,149
1,2017,April,27,5563.05,127,26625,1810,83
1,2017,April,28,4114.48,103,20220,1726,80
1,2017,April,29,3542.98,70,18305,1103,53
1,2017,April,30,3236.33,81,16432,1052,79
1,2017,May,1,8700.54,207,44513,2734,133
1,2017,May,2,5652.21,177,25426,2385,97
1,2017,May,3,3335.63,96,22396,1557,87
1,2017,May,4,5541.15,165,34786,2121,78
1,2017,May,5,5796.44,124,24698,1660,70
1,2017,May,6,6085.47,162,37149,2201,88
1,2017,May,7,7956.54,154,35458,2217,90
1,2017,May,8,10897.03,179,38957,2701,112
1,2017,May,9,6005.53,107,37066,2237,103
1,2017,May,10,4828.92,123,25580,2148,106
1,2017,May,11,7130.4,153,53089,2797,137
1,2017,May,12,7693.54,177,50651,3599,137
1,2017,May,13,4413.48,100,34389,1725,72
1,2017,May,14,6375.62,189,39064,2530,129
1,2017,May,15,12355.48,137,70241,3363,183
1,2017,May,16,9134.63,193,40079,3365,148
1,2017,May,17,9304.42,214,69356,4561,183
1,2017,May,18,14227.26,225,48012,2941,114
1,2017,May,19,16951.29,211,44926,3489,139
1,2017,May,20,5516.63,92,19771,1460,56
1,2017,May,21,7884.69,175,41254,2667,130
1,2017,May,22,12331.76,256,48136,3813,189
1,2017,May,23,12910.05,237,47437,3223,148
1,2017,May,24,14766.78,188,50011,2923,123
1,2017,May,25,6990.44,127,37245,2332,114
1,2017,May,26,5031.4,136,17099,1370,55
1,2017,May,27,7290.22,150,25491,1815,70
1,2017,May,28,5025.32,144,32084,2154,104
1,2017,May,29,9454.57,232,84221,4952,209
1,2017,May,30,9699.11,156,34941,2321,94
1,2017,May,31,4804.3,119,33421,2306,138
1,2017,June,1,10105.57,222,49030,3426,144
1,2017,June,2,11563.98,183,40461,2468,111
1,2017,June,3,5249.38,147,30716,1996,103
1,2017,June,4,4826.44,143,39572,1621,99
1,2017,June,5,13201.28,210,45443,3206,148
1,2017,June,6,9891.89,213,48434,3223,133
1,2017,June,7,4907.06,135,55816,3969,132
1,2017,June,8,8558.19,153,38734,2533,136
1,2017,June,9,8760.69,156,30188,2631,88
1,2017,June,10,3500.93,106,32119,1723,69
1,2017,June,11,8920,172,36990,2875,143
1,2017,June,12,8543.06,162,39126,2962,128
1,2017,June,13,5674.69,149,35176,2305,100
1,2017,June,14,10901.53,183,29293,2459,118
1,2017,June,15,5999.17,129,30661,2281,93
1,2017,June,16,7804.64,156,30569,2003,95
1,2017,June,17,8492.16,173,40443,2117,112
1,2017,June,18,9532.81,161,39773,2499,121
1,2017,June,19,12329.74,232,60170,3565,153
1,2017,June,20,5479.34,117,39770,2525,106
1,2017,June,21,5597.83,59,21433,1142,80
1,2017,June,22,4706.58,111,33313,2022,92
1,2017,June,23,6956.82,139,29751,2351,107
1,2017,June,24,3522.4,95,22501,1520,49
1,2017,June,25,7812.12,221,34453,2535,109
1,2017,June,26,5802,104,31606,1667,53
1,2017,June,27,8926.11,175,52874,3136,133
1,2017,June,28,11397.85,165,49642,2422,97
1,2017,June,29,6916.99,202,51665,3186,112
1,2017,June,30,7646.99,127,31879,2002,107
1,2017,July,1,3325.44,88,16550,1388,64
1,2017,July,2,7255.5,153,37772,2644,131
1,2017,July,3,7052.64,252,37995,2446,137
1,2017,July,4,6828.82,154,33121,2719,111
1,2017,July,5,9240.23,202,48928,4003,162
1,2017,July,6,9241.88,197,54520,3409,122
1,2017,July,7,6372.18,139,41120,2229,100
1,2017,July,8,4442.76,98,24167,1621,74
1,2017,July,9,4490.69,106,22765,2017,76
1,2017,July,10,8103.43,223,47966,3239,150
1,2017,July,11,14870.78,319,64413,4324,210
1,2017,July,12,8935.11,178,43044,2728,148
1,2017,July,13,9076.67,130,41771,2705,89
1,2017,July,14,9923.53,221,39752,3316,149
1,2017,July,15,3729.72,96,32602,2208,97
1,2017,July,16,11086.73,208,38622,3426,169
1,2017,July,17,14120.54,320,65665,4302,171
1,2017,July,18,14928.27,291,70070,5018,238
1,2017,July,19,12607.43,219,45360,3390,180
1,2017,July,20,9466.27,269,48682,3438,137
1,2017,July,21,6310.7,168,46914,2954,149
1,2017,July,22,5857.32,120,21840,1837,77
1,2017,July,23,6264.59,118,36584,2617,110
1,2017,July,24,12128.07,247,65218,3671,175
1,2017,July,25,9352.96,230,59195,3910,193
1,2017,July,26,5925.05,134,45696,2773,123
1,2017,July,27,6182.32,176,44562,3214,117
1,2017,July,28,8364.32,159,40039,2500,119
1,2017,July,29,12941.31,300,40110,3958,145
1,2017,July,30,9193.45,224,45969,3298,181
1,2017,July,31,10059.72,195,57609,3297,176
1,2017,August,1,10723.46,246,66824,4336,204
1,2017,August,2,9970.88,217,55762,3841,177
1,2017,August,3,10270.97,250,51854,3602,170
1,2017,August,4,6640.82,153,33622,2462,114
1,2017,August,5,4272.67,112,25643,1710,89
1,2017,August,6,8355.95,175,27484,2227,93
1,2017,August,7,10012.28,221,46217,3923,178
1,2017,August,8,9413.24,266,50853,5195,374
1,2017,August,9,10304.44,196,49856,3075,126
1,2017,August,10,13351.74,240,47805,4169,174
1,2017,August,11,10151.87,217,38061,3030,113
1,2017,August,12,7884.9,161,28542,1962,102
1,2017,August,13,4169.07,94,29391,1967,66
1,2017,August,14,10208.79,305,60805,4521,198
